date,erc
2005-01-01,0.0
2005-01-02,0.0
2005-01-03,0.0
2005-01-04,0.0
2005-01-05,0.0
2005-01-06,0.0
2005-01-07,0.0
2005-01-08,0.0
2005-01-09,0.0
2005-01-10,0.0
2005-01-11,0.0
2005-01-12,0.0
2005-01-13,0.0
2005-01-14,0.0
2005-01-15,0.0
2005-01-16,0.0
2005-01-17,2.4
2005-01-18,3.1
2005-01-19,3.3
2005-01-20,4.5
2005-01-21,5.2
2005-01-22,5.5
2005-01-23,5.9
2005-01-24,6.3
2005-01-25,6.3
2005-01-26,6.5
2005-01-27,6.3
2005-01-28,5.5
2005-01-29,4.3
2005-01-30,2.9
2005-01-31,2.7
2005-02-01,2.4
2005-02-02,2.2
2005-02-03,2.2
2005-02-04,2.1
2005-02-05,2.0
2005-02-06,5.1
2005-02-07,5.0
2005-02-08,3.9
2005-02-09,2.1
2005-02-10,2.0
2005-02-11,1.9
2005-02-12,1.8
2005-02-13,1.7
2005-02-14,1.6
2005-02-15,1.5
2005-02-16,1.5
2005-02-17,1.4
2005-02-18,1.3
2005-02-19,1.3
2005-02-20,1.2
2005-02-21,1.2
2005-02-22,1.2
2005-02-23,1.1
2005-02-24,1.1
2005-02-25,1.1
2005-02-26,1.0
2005-02-27,1.0
2005-02-28,1.0
2005-03-01,1.0
2005-03-02,1.0
2005-03-03,0.9
2005-03-04,0.9
2005-03-05,0.9
2005-03-06,0.9
2005-03-07,4.4
2005-03-08,5.0
2005-03-09,6.1
2005-03-10,6.2
2005-03-11,7.3
2005-03-12,7.9
2005-03-13,7.6
2005-03-14,7.7
2005-03-15,8.5
2005-03-16,8.6
2005-03-17,8.5
2005-03-18,9.1
2005-03-19,9.6
2005-03-20,8.3
2005-03-21,5.4
2005-03-22,4.4
2005-03-23,7.3
2005-03-24,6.4
2005-03-25,5.5
2005-03-26,3.9
2005-03-27,7.3
2005-03-28,8.2
2005-03-29,7.6
2005-03-30,7.0
2005-03-31,6.2
2005-04-01,7.9
2005-04-02,9.0
2005-04-03,9.8
2005-04-04,10.0
2005-04-05,8.8
2005-04-06,10.3
2005-04-07,11.4
2005-04-08,11.1
2005-04-09,9.8
2005-04-10,10.0
2005-04-11,11.0
2005-04-12,11.8
2005-04-13,13.0
2005-04-14,12.8
2005-04-15,13.6
2005-04-16,14.3
2005-04-17,14.5
2005-04-18,15.0
2005-04-19,14.7
2005-04-20,13.9
2005-04-21,13.4
2005-04-22,14.3
2005-04-23,15.3
2005-04-24,14.9
2005-04-25,11.2
2005-04-26,12.3
2005-04-27,12.1
2005-04-28,9.6
2005-04-29,8.0
2005-04-30,9.4
2005-05-01,10.4
2005-05-02,11.2
2005-05-03,11.8
2005-05-04,11.6
2005-05-05,11.4
2005-05-06,11.7
2005-05-07,13.2
2005-05-08,14.6
2005-05-09,16.7
2005-05-10,17.9
2005-05-11,16.0
2005-05-12,15.2
