date,erc
2005-01-01,50.8
2005-01-02,54.5
2005-01-03,12.3
2005-01-04,9.6
2005-01-05,2.0
2005-01-06,0.6
2005-01-07,0.0
2005-01-08,0.0
2005-01-09,0.0
2005-01-10,4.8
2005-01-11,1.9
2005-01-12,7.5
2005-01-13,4.9
2005-01-14,0.0
2005-01-15,0.0
2005-01-16,0.0
2005-01-17,17.4
2005-01-18,17.3
2005-01-19,17.5
2005-01-20,38.9
2005-01-21,41.1
2005-01-22,41.4
2005-01-23,39.7
2005-01-24,37.7
2005-01-25,26.6
2005-01-26,18.4
2005-01-27,1.1
2005-01-28,11.4
2005-01-29,19.8
2005-01-30,18.5
2005-01-31,3.5
2005-02-01,0.0
2005-02-02,0.0
2005-02-03,14.5
2005-02-04,38.5
2005-02-05,34.6
2005-02-06,36.4
2005-02-07,26.3
2005-02-08,0.0
2005-02-09,0.0
2005-02-10,0.0
2005-02-11,13.7
2005-02-12,1.9
2005-02-13,36.0
2005-02-14,31.8
2005-02-15,50.5
2005-02-16,21.5
2005-02-17,15.9
2005-02-18,15.3
2005-02-19,7.1
2005-02-20,7.3
2005-02-21,32.3
2005-02-22,43.6
2005-02-23,22.9
2005-02-24,33.0
2005-02-25,32.3
2005-02-26,29.9
2005-02-27,55.7
2005-02-28,63.6
2005-03-01,60.0
2005-03-02,70.9
2005-03-03,53.9
2005-03-04,61.7
2005-03-05,54.1
2005-03-06,60.1
2005-03-07,73.5
2005-03-08,77.1
2005-03-09,77.5
2005-03-10,81.0
2005-03-11,81.2
2005-03-12,81.8
2005-03-13,79.0
2005-03-14,71.9
2005-03-15,77.6
2005-03-16,72.7
2005-03-17,76.9
2005-03-18,72.8
2005-03-19,62.4
2005-03-20,15.6
2005-03-21,37.9
2005-03-22,68.2
2005-03-23,56.9
2005-03-24,56.1
2005-03-25,35.7
2005-03-26,24.1
2005-03-27,62.9
2005-03-28,71.0
2005-03-29,59.6
2005-03-30,45.5
2005-03-31,65.9
2005-04-01,73.4
2005-04-02,83.2
2005-04-03,87.0
2005-04-04,79.9
2005-04-05,73.0
2005-04-06,82.6
2005-04-07,87.9
2005-04-08,85.2
2005-04-09,74.5
2005-04-10,59.0
2005-04-11,75.5
2005-04-12,84.0
2005-04-13,90.4
2005-04-14,93.4
2005-04-15,88.6
2005-04-16,84.5
