date,erc
2005-01-01,0.0
2005-01-02,0.0
2005-01-03,0.0
2005-01-04,0.0
2005-01-05,0.0
2005-01-06,0.0
2005-01-07,0.0
2005-01-08,0.0
2005-01-09,0.0
2005-01-10,0.0
2005-01-11,0.0
2005-01-12,0.0
2005-01-13,0.0
2005-01-14,0.0
2005-01-15,0.0
2005-01-16,0.0
2005-01-17,0.0
2005-01-18,0.0
2005-01-19,0.0
2005-01-20,0.0
2005-01-21,0.0
2005-01-22,0.0
2005-01-23,0.0
2005-01-24,0.0
2005-01-25,0.0
2005-01-26,0.0
2005-01-27,0.0
2005-01-28,0.0
2005-01-29,0.0
2005-01-30,0.0
2005-01-31,0.0
2005-02-01,0.0
2005-02-02,0.0
2005-02-03,0.1
2005-02-04,0.1
2005-02-05,0.2
2005-02-06,0.2
2005-02-07,0.3
2005-02-08,0.3
2005-02-09,0.3
2005-02-10,0.4
2005-02-11,0.4
2005-02-12,0.4
2005-02-13,0.5
2005-02-14,0.5
2005-02-15,0.5
2005-02-16,0.5
2005-02-17,0.6
2005-02-18,0.6
2005-02-19,0.6
2005-02-20,0.6
2005-02-21,0.6
2005-02-22,0.6
2005-02-23,0.6
2005-02-24,0.6
2005-02-25,0.7
2005-02-26,0.7
2005-02-27,0.7
2005-02-28,0.7
2005-03-01,0.7
2005-03-02,0.7
2005-03-03,0.7
2005-03-04,0.7
2005-03-05,0.7
2005-03-06,0.7
2005-03-07,0.7
2005-03-08,0.7
2005-03-09,0.7
2005-03-10,0.7
2005-03-11,0.7
2005-03-12,0.7
2005-03-13,0.7
2005-03-14,0.7
2005-03-15,0.7
2005-03-16,0.7
2005-03-17,0.7
2005-03-18,0.7
2005-03-19,0.7
2005-03-20,0.7
2005-03-21,0.8
2005-03-22,0.8
2005-03-23,0.8
2005-03-24,0.8
2005-03-25,0.8
2005-03-26,0.8
2005-03-27,0.8
2005-03-28,0.8
2005-03-29,0.8
2005-03-30,0.8
2005-03-31,0.8
2005-04-01,0.8
2005-04-02,0.8
2005-04-03,0.8
2005-04-04,0.8
2005-04-05,0.8
2005-04-06,0.8
2005-04-07,0.8
2005-04-08,0.8
2005-04-09,0.8
2005-04-10,0.8
2005-04-11,0.8
2005-04-12,0.8
2005-04-13,0.8
2005-04-14,0.8
2005-04-15,0.8
2005-04-16,0.8
2005-04-17,0.8
2005-04-18,0.8
2005-04-19,0.8
2005-04-20,0.8
2005-04-21,0.8
2005-04-22,4.7
2005-04-23,6.1
2005-04-24,5.1
2005-04-25,2.0
2005-04-26,1.8
2005-04-27,1.7
2005-04-28,1.6
2005-04-29,1.5
2005-04-30,1.4
2005-05-01,1.4
2005-05-02,1.4
2005-05-03,1.3
2005-05-04,1.3
2005-05-05,1.2
2005-05-06,5.2
2005-05-07,7.8
2005-05-08,7.4
2005-05-09,11.1
2005-05-10,13.0
2005-05-11,13.0
2005-05-12,10.7
