date,erc
2005-01-01,12.1
2005-01-02,23.8
2005-01-03,23.7
2005-01-04,9.1
2005-01-05,0.0
2005-01-06,0.0
2005-01-07,0.0
2005-01-08,0.0
2005-01-09,0.0
2005-01-10,11.0
2005-01-11,2.4
2005-01-12,8.2
2005-01-13,3.0
2005-01-14,0.0
2005-01-15,9.9
2005-01-16,21.0
2005-01-17,24.6
2005-01-18,24.6
2005-01-19,25.8
2005-01-20,30.1
2005-01-21,31.3
2005-01-22,34.6
2005-01-23,45.4
2005-01-24,45.2
2005-01-25,37.7
2005-01-26,37.0
2005-01-27,22.4
2005-01-28,3.7
2005-01-29,0.5
2005-01-30,0.0
2005-01-31,22.3
2005-02-01,27.0
2005-02-02,30.1
2005-02-03,46.8
2005-02-04,49.5
2005-02-05,48.9
2005-02-06,48.6
2005-02-07,33.3
2005-02-08,1.3
2005-02-09,0.0
2005-02-10,0.0
2005-02-11,15.6
2005-02-12,13.1
2005-02-13,0.1
2005-02-14,0.0
2005-02-15,9.5
2005-02-16,5.0
2005-02-17,0.5
2005-02-18,0.0
2005-02-19,8.7
2005-02-20,19.3
2005-02-21,35.5
2005-02-22,17.5
2005-02-23,7.3
2005-02-24,29.5
2005-02-25,30.1
2005-02-26,22.3
2005-02-27,30.1
2005-02-28,32.8
2005-03-01,29.3
2005-03-02,14.8
2005-03-03,48.1
2005-03-04,63.5
2005-03-05,67.2
2005-03-06,69.7
2005-03-07,77.5
2005-03-08,71.8
2005-03-09,75.8
2005-03-10,75.9
2005-03-11,78.3
2005-03-12,80.7
2005-03-13,73.8
2005-03-14,74.9
2005-03-15,77.2
2005-03-16,79.2
2005-03-17,76.7
2005-03-18,76.0
2005-03-19,69.8
2005-03-20,37.0
2005-03-21,29.7
2005-03-22,55.2
2005-03-23,45.3
2005-03-24,28.5
2005-03-25,8.2
2005-03-26,0.4
2005-03-27,31.6
2005-03-28,60.6
2005-03-29,48.5
2005-03-30,32.2
2005-03-31,24.9
2005-04-01,52.3
2005-04-02,78.6
2005-04-03,85.2
2005-04-04,78.7
2005-04-05,68.9
2005-04-06,79.6
2005-04-07,86.6
2005-04-08,82.9
2005-04-09,69.9
2005-04-10,54.8
2005-04-11,70.0
2005-04-12,79.8
2005-04-13,87.0
2005-04-14,90.5
2005-04-15,87.7
2005-04-16,88.7
2005-04-17,87.9
2005-04-18,89.4
2005-04-19,91.8
2005-04-20,76.6
2005-04-21,70.6
2005-04-22,76.5
2005-04-23,81.3
2005-04-24,66.0
2005-04-25,45.7
2005-04-26,64.6
2005-04-27,59.6
2005-04-28,57.0
2005-04-29,43.7
2005-04-30,54.7
2005-05-01,40.9
2005-05-02,59.5
2005-05-03,56.6
2005-05-04,60.3
2005-05-05,64.0
2005-05-06,62.3
2005-05-07,39.3
2005-05-08,53.5
2005-05-09,65.8
2005-05-10,63.7
2005-05-11,40.0
2005-05-12,49.0
2005-05-13,56.1
2005-05-14,65.0
2005-05-15,67.6
2005-05-16,66.8
2005-05-17,62.0
2005-05-18,62.0
2005-05-19,65.2
2005-05-20,69.5
2005-05-21,72.5
2005-05-22,72.7
2005-05-23,74.6
2005-05-24,74.2
2005-05-25,72.5
2005-05-26,74.2
2005-05-27,75.0
2005-05-28,71.6
2005-05-29,65.6
2005-05-30,52.4
2005-05-31,59.4
2005-06-01,66.4
2005-06-02,36.0
2005-06-03,19.6
2005-06-04,36.4
2005-06-05,63.9
2005-06-06,71.7
2005-06-07,74.9
2005-06-08,76.8
2005-06-09,62.0
2005-06-10,32.8
2005-06-11,49.0
2005-06-12,26.3
2005-06-13,60.4
2005-06-14,70.3
2005-06-15,77.1
2005-06-16,81.0
2005-06-17,84.1
2005-06-18,82.2
2005-06-19,85.2
2005-06-20,84.8
2005-06-21,82.5
2005-06-22,74.3
2005-06-23,61.6
2005-06-24,66.7
2005-06-25,66.7
2005-06-26,62.0
2005-06-27,79.4
2005-06-28,76.8
2005-06-29,62.5
2005-06-30,71.5
2005-07-01,76.8
2005-07-02,85.6
2005-07-03,81.7
2005-07-04,82.7
2005-07-05,86.1
2005-07-06,91.6
2005-07-07,96.4
2005-07-08,99.1
2005-07-09,95.1
2005-07-10,97.4
2005-07-11,97.9
2005-07-12,97.9
2005-07-13,100.2
2005-07-14,100.8
2005-07-15,96.2
2005-07-16,96.2
2005-07-17,98.2
2005-07-18,102.5
2005-07-19,102.0
2005-07-20,101.7
2005-07-21,100.1
2005-07-22,97.4
2005-07-23,84.5
2005-07-24,68.4
2005-07-25,66.4
2005-07-26,79.5
2005-07-27,92.7
2005-07-28,98.7
2005-07-29,99.6
2005-07-30,95.3
2005-07-31,90.6
2005-08-01,82.8
2005-08-02,77.8
2005-08-03,68.6
2005-08-04,72.6
2005-08-05,69.4
2005-08-06,75.7
2005-08-07,86.1
2005-08-08,86.5
2005-08-09,74.3
2005-08-10,29.9
2005-08-11,66.8
2005-08-12,84.0
2005-08-13,84.0
2005-08-14,82.7
2005-08-15,74.2
2005-08-16,60.5
2005-08-17,75.5
2005-08-18,80.2
2005-08-19,84.3
2005-08-20,79.8
2005-08-21,74.6
2005-08-22,76.8
2005-08-23,74.9
2005-08-24,74.7
2005-08-25,75.7
2005-08-26,74.6
2005-08-27,73.2
2005-08-28,78.0
2005-08-29,83.9
2005-08-30,84.8
2005-08-31,85.8
2005-09-01,88.7
2005-09-02,84.9
2005-09-03,75.4
2005-09-04,61.7
2005-09-05,76.0
2005-09-06,73.0
2005-09-07,73.5
2005-09-08,60.5
2005-09-09,34.8
2005-09-10,65.9
2005-09-11,70.3
2005-09-12,73.2
2005-09-13,70.1
2005-09-14,67.4
2005-09-15,72.8
2005-09-16,76.7
2005-09-17,77.3
2005-09-18,78.5
2005-09-19,79.3
2005-09-20,79.1
2005-09-21,55.5
2005-09-22,44.0
2005-09-23,55.5
2005-09-24,66.1
2005-09-25,71.4
2005-09-26,70.9
2005-09-27,58.5
2005-09-28,23.6
2005-09-29,37.9
2005-09-30,45.1
2005-10-01,52.2
2005-10-02,55.2
2005-10-03,57.3
2005-10-04,46.0
2005-10-05,40.6
2005-10-06,46.8
2005-10-07,50.5
2005-10-08,56.5
2005-10-09,15.5
2005-10-10,23.3
2005-10-11,36.3
2005-10-12,53.8
2005-10-13,62.5
2005-10-14,70.3
2005-10-15,72.1
2005-10-16,61.0
2005-10-17,68.5
2005-10-18,63.0
2005-10-19,25.1
