date,erc
2005-01-01,0.0
2005-01-02,2.4
2005-01-03,3.3
2005-01-04,2.8
2005-01-05,1.8
2005-01-06,3.0
2005-01-07,4.2
2005-01-08,3.4
2005-01-09,4.0
2005-01-10,3.6
2005-01-11,3.7
2005-01-12,2.0
2005-01-13,5.0
2005-01-14,6.0
2005-01-15,7.1
2005-01-16,8.0
2005-01-17,8.2
2005-01-18,6.1
2005-01-19,2.4
2005-01-20,2.2
2005-01-21,1.9
2005-01-22,1.7
2005-01-23,1.6
2005-01-24,1.5
2005-01-25,6.4
2005-01-26,6.9
2005-01-27,10.4
2005-01-28,6.2
2005-01-29,8.3
2005-01-30,6.5
2005-01-31,7.5
2005-02-01,6.7
2005-02-02,3.5
2005-02-03,3.2
2005-02-04,2.9
2005-02-05,8.2
2005-02-06,9.0
2005-02-07,8.7
2005-02-08,8.5
2005-02-09,10.5
2005-02-10,11.4
2005-02-11,11.7
2005-02-12,8.9
2005-02-13,6.2
2005-02-14,4.7
2005-02-15,9.5
2005-02-16,7.4
2005-02-17,4.8
2005-02-18,4.3
2005-02-19,4.1
2005-02-20,6.5
2005-02-21,9.3
2005-02-22,8.8
2005-02-23,7.4
2005-02-24,10.1
2005-02-25,10.9
2005-02-26,10.0
2005-02-27,10.2
2005-02-28,12.3
2005-03-01,12.6
2005-03-02,13.2
2005-03-03,13.8
2005-03-04,14.0
2005-03-05,14.3
2005-03-06,14.7
2005-03-07,16.2
2005-03-08,16.5
2005-03-09,17.2
2005-03-10,17.7
2005-03-11,25.0
2005-03-12,28.2
2005-03-13,28.9
2005-03-14,29.6
2005-03-15,31.3
2005-03-16,32.1
2005-03-17,32.8
2005-03-18,33.4
2005-03-19,33.0
2005-03-20,27.3
2005-03-21,23.7
2005-03-22,31.0
2005-03-23,25.7
2005-03-24,27.6
2005-03-25,22.0
2005-03-26,21.1
2005-03-27,29.6
2005-03-28,31.7
2005-03-29,29.9
2005-03-30,25.3
2005-03-31,28.6
2005-04-01,33.5
2005-04-02,36.7
2005-04-03,39.0
2005-04-04,38.5
2005-04-05,34.2
2005-04-06,37.8
2005-04-07,41.2
2005-04-08,41.1
2005-04-09,40.8
2005-04-10,31.7
2005-04-11,37.1
2005-04-12,40.0
2005-04-13,42.9
2005-04-14,44.9
2005-04-15,45.5
2005-04-16,47.2
2005-04-17,47.7
2005-04-18,48.9
2005-04-19,50.8
2005-04-20,47.6
2005-04-21,46.1
2005-04-22,48.1
2005-04-23,50.4
2005-04-24,47.5
2005-04-25,37.0
2005-04-26,42.4
2005-04-27,41.5
2005-04-28,39.2
2005-04-29,33.8
