date,erc
2005-01-01,0.0
2005-01-02,0.0
2005-01-03,0.1
2005-01-04,0.2
2005-01-05,0.0
2005-01-06,0.0
2005-01-07,0.0
2005-01-08,0.0
2005-01-09,0.0
2005-01-10,0.7
2005-01-11,0.0
2005-01-12,0.0
2005-01-13,0.0
2005-01-14,0.0
2005-01-15,0.0
2005-01-16,0.0
2005-01-17,0.0
2005-01-18,0.0
2005-01-19,0.0
2005-01-20,0.0
2005-01-21,0.0
2005-01-22,0.0
2005-01-23,0.0
2005-01-24,0.0
2005-01-25,3.2
2005-01-26,3.6
2005-01-27,2.4
2005-01-28,2.1
2005-01-29,0.8
2005-01-30,0.8
2005-01-31,0.6
2005-02-01,0.6
2005-02-02,0.6
2005-02-03,0.6
2005-02-04,0.6
2005-02-05,0.6
2005-02-06,3.2
2005-02-07,3.4
2005-02-08,2.0
2005-02-09,1.3
2005-02-10,1.2
2005-02-11,1.2
2005-02-12,1.2
2005-02-13,1.1
2005-02-14,1.1
2005-02-15,1.0
2005-02-16,1.0
2005-02-17,1.0
2005-02-18,1.0
2005-02-19,1.0
2005-02-20,0.9
2005-02-21,0.9
2005-02-22,0.9
2005-02-23,0.9
2005-02-24,0.9
2005-02-25,0.9
2005-02-26,0.9
2005-02-27,0.8
2005-02-28,0.8
2005-03-01,0.8
2005-03-02,0.8
2005-03-03,0.8
2005-03-04,0.8
2005-03-05,0.8
2005-03-06,4.7
2005-03-07,5.7
2005-03-08,6.3
2005-03-09,7.2
2005-03-10,7.8
2005-03-11,12.8
2005-03-12,14.6
2005-03-13,15.0
2005-03-14,15.5
2005-03-15,16.6
2005-03-16,17.2
2005-03-17,17.3
2005-03-18,18.1
2005-03-19,17.1
2005-03-20,14.3
2005-03-21,11.9
2005-03-22,7.6
2005-03-23,11.7
2005-03-24,12.0
2005-03-25,11.4
2005-03-26,8.1
2005-03-27,10.7
2005-03-28,15.0
2005-03-29,17.0
2005-03-30,15.5
2005-03-31,11.5
2005-04-01,12.5
2005-04-02,17.4
2005-04-03,23.7
2005-04-04,24.3
2005-04-05,21.0
2005-04-06,26.0
2005-04-07,29.1
2005-04-08,29.1
2005-04-09,28.6
2005-04-10,26.0
2005-04-11,29.8
2005-04-12,33.2
2005-04-13,35.6
2005-04-14,38.0
2005-04-15,39.0
2005-04-16,40.7
2005-04-17,40.5
2005-04-18,42.1
2005-04-19,43.8
2005-04-20,40.3
2005-04-21,38.3
2005-04-22,40.7
2005-04-23,43.4
2005-04-24,39.7
2005-04-25,29.7
2005-04-26,36.3
2005-04-27,35.7
2005-04-28,34.6
2005-04-29,32.7
2005-04-30,36.3
2005-05-01,29.7
2005-05-02,30.2
2005-05-03,31.7
2005-05-04,33.5
2005-05-05,35.8
2005-05-06,35.0
2005-05-07,31.5
2005-05-08,35.3
2005-05-09,38.5
2005-05-10,38.8
2005-05-11,33.8
2005-05-12,37.9
