date,erc
2005-01-01,0.0
2005-01-02,1.8
2005-01-03,1.4
2005-01-04,1.0
2005-01-05,1.6
2005-01-06,1.0
2005-01-07,0.0
2005-01-08,0.0
2005-01-09,3.9
2005-01-10,5.5
2005-01-11,4.2
2005-01-12,1.1
2005-01-13,1.0
2005-01-14,1.0
2005-01-15,0.9
2005-01-16,0.8
2005-01-17,10.2
2005-01-18,11.6
2005-01-19,13.4
2005-01-20,14.8
2005-01-21,16.0
2005-01-22,18.0
2005-01-23,18.9
2005-01-24,19.3
2005-01-25,18.6
2005-01-26,18.0
2005-01-27,12.6
2005-01-28,13.7
2005-01-29,18.0
2005-01-30,18.3
2005-01-31,16.9
2005-02-01,10.4
2005-02-02,13.4
2005-02-03,14.2
2005-02-04,20.5
2005-02-05,21.4
2005-02-06,22.3
2005-02-07,20.1
2005-02-08,14.6
2005-02-09,9.3
2005-02-10,14.3
2005-02-11,19.0
2005-02-12,12.3
2005-02-13,14.4
2005-02-14,18.3
2005-02-15,19.1
2005-02-16,15.9
2005-02-17,11.2
2005-02-18,13.7
2005-02-19,12.9
2005-02-20,14.6
2005-02-21,18.7
2005-02-22,18.9
2005-02-23,16.8
2005-02-24,15.7
2005-02-25,18.5
2005-02-26,19.5
2005-02-27,22.1
2005-02-28,23.7
2005-03-01,23.8
2005-03-02,26.2
2005-03-03,25.4
2005-03-04,26.9
2005-03-05,27.1
2005-03-06,28.4
2005-03-07,30.4
2005-03-08,31.8
2005-03-09,33.2
2005-03-10,34.0
2005-03-11,35.4
2005-03-12,36.8
2005-03-13,37.2
2005-03-14,37.2
2005-03-15,39.0
2005-03-16,39.8
2005-03-17,40.3
2005-03-18,40.0
2005-03-19,38.3
2005-03-20,31.8
2005-03-21,34.1
2005-03-22,36.4
2005-03-23,34.4
2005-03-24,33.5
2005-03-25,30.8
2005-03-26,27.2
2005-03-27,33.0
2005-03-28,34.8
2005-03-29,31.6
2005-03-30,27.5
2005-03-31,32.0
2005-04-01,34.6
2005-04-02,36.2
2005-04-03,38.2
2005-04-04,38.5
2005-04-05,37.3
2005-04-06,39.4
2005-04-07,41.3
2005-04-08,42.2
2005-04-09,41.2
2005-04-10,38.0
2005-04-11,41.0
2005-04-12,43.1
2005-04-13,45.0
2005-04-14,46.7
2005-04-15,46.8
2005-04-16,47.7
2005-04-17,47.2
2005-04-18,48.7
2005-04-19,50.1
2005-04-20,47.0
2005-04-21,48.6
2005-04-22,49.4
2005-04-23,51.0
2005-04-24,47.2
2005-04-25,39.3
2005-04-26,40.2
2005-04-27,38.5
2005-04-28,37.5
2005-04-29,36.2
2005-04-30,37.6
2005-05-01,34.1
2005-05-02,33.0
2005-05-03,32.6
2005-05-04,32.8
2005-05-05,34.9
2005-05-06,34.6
2005-05-07,33.2
2005-05-08,35.9
2005-05-09,38.5
2005-05-10,39.7
2005-05-11,38.0
2005-05-12,40.4
2005-05-13,41.5
2005-05-14,42.5
2005-05-15,44.2
2005-05-16,46.2
2005-05-17,46.7
2005-05-18,48.0
2005-05-19,49.6
2005-05-20,51.8
2005-05-21,53.7
2005-05-22,54.9
2005-05-23,56.3
2005-05-24,57.8
2005-05-25,58.1
2005-05-26,58.9
2005-05-27,59.8
2005-05-28,59.6
2005-05-29,58.9
2005-05-30,58.8
2005-05-31,58.8
2005-06-01,60.0
2005-06-02,60.8
2005-06-03,55.3
2005-06-04,53.1
2005-06-05,55.2
2005-06-06,55.4
2005-06-07,56.7
2005-06-08,57.4
2005-06-09,56.0
2005-06-10,50.4
2005-06-11,47.8
2005-06-12,42.3
2005-06-13,43.8
2005-06-14,45.6
2005-06-15,48.2
2005-06-16,50.5
2005-06-17,53.0
2005-06-18,54.6
2005-06-19,56.7
2005-06-20,58.3
2005-06-21,59.1
2005-06-22,58.4
2005-06-23,51.4
2005-06-24,53.6
2005-06-25,53.6
2005-06-26,52.3
2005-06-27,55.3
2005-06-28,54.7
2005-06-29,53.5
2005-06-30,54.7
2005-07-01,56.5
2005-07-02,58.7
2005-07-03,59.7
2005-07-04,60.9
2005-07-05,62.2
2005-07-06,63.9
2005-07-07,65.3
2005-07-08,65.8
2005-07-09,65.8
2005-07-10,67.1
2005-07-11,68.4
2005-07-12,69.0
2005-07-13,69.3
2005-07-14,69.8
2005-07-15,69.2
2005-07-16,69.1
2005-07-17,69.7
2005-07-18,70.3
2005-07-19,71.0
2005-07-20,71.7
2005-07-21,71.7
2005-07-22,70.9
2005-07-23,69.8
2005-07-24,64.6
2005-07-25,55.4
2005-07-26,48.7
2005-07-27,50.5
2005-07-28,52.9
2005-07-29,55.1
2005-07-30,56.5
2005-07-31,56.4
2005-08-01,55.9
2005-08-02,52.8
2005-08-03,49.9
2005-08-04,49.3
2005-08-05,47.3
2005-08-06,43.9
2005-08-07,44.3
2005-08-08,44.5
2005-08-09,42.0
2005-08-10,36.0
2005-08-11,32.2
2005-08-12,32.9
2005-08-13,35.1
2005-08-14,36.7
2005-08-15,36.6
2005-08-16,35.1
2005-08-17,39.2
2005-08-18,42.5
2005-08-19,44.2
2005-08-20,45.1
2005-08-21,46.8
2005-08-22,48.2
2005-08-23,48.8
2005-08-24,49.8
2005-08-25,50.9
2005-08-26,51.9
2005-08-27,52.3
2005-08-28,53.7
2005-08-29,55.7
2005-08-30,57.7
2005-08-31,58.2
2005-09-01,59.0
2005-09-02,58.0
2005-09-03,54.8
2005-09-04,48.5
2005-09-05,46.5
2005-09-06,46.4
2005-09-07,46.6
2005-09-08,39.9
2005-09-09,33.1
2005-09-10,32.8
2005-09-11,35.4
2005-09-12,37.8
2005-09-13,39.8
2005-09-14,40.9
2005-09-15,42.4
2005-09-16,44.8
2005-09-17,47.0
2005-09-18,49.0
2005-09-19,50.7
2005-09-20,51.1
2005-09-21,42.9
2005-09-22,39.5
2005-09-23,39.2
2005-09-24,42.7
2005-09-25,44.5
2005-09-26,46.5
2005-09-27,44.3
2005-09-28,35.2
2005-09-29,33.3
2005-09-30,31.3
2005-10-01,33.3
2005-10-02,35.1
2005-10-03,37.3
2005-10-04,35.9
2005-10-05,36.7
2005-10-06,37.0
2005-10-07,38.6
2005-10-08,39.2
2005-10-09,26.6
2005-10-10,29.0
2005-10-11,29.4
2005-10-12,30.2
2005-10-13,32.3
2005-10-14,33.7
2005-10-15,33.1
2005-10-16,31.7
2005-10-17,32.7
2005-10-18,30.1
2005-10-19,25.3
2005-10-20,26.5
2005-10-21,26.3
2005-10-22,26.8
2005-10-23,28.6
2005-10-24,29.3
2005-10-25,30.8
2005-10-26,29.8
2005-10-27,31.1
2005-10-28,30.9
2005-10-29,23.7
2005-10-30,26.2
2005-10-31,29.5
2005-11-01,30.6
2005-11-02,32.1
2005-11-03,34.4
2005-11-04,35.5
2005-11-05,36.2
2005-11-06,37.8
2005-11-07,38.1
2005-11-08,39.8
2005-11-09,40.2
2005-11-10,40.5
2005-11-11,38.2
2005-11-12,32.2
2005-11-13,33.7
2005-11-14,34.0
2005-11-15,34.6
2005-11-16,36.0
2005-11-17,35.7
2005-11-18,35.8
2005-11-19,37.0
2005-11-20,37.4
2005-11-21,38.0
2005-11-22,38.7
2005-11-23,38.7
2005-11-24,39.6
2005-11-25,40.0
2005-11-26,40.0
2005-11-27,40.0
2005-11-28,40.5
2005-11-29,41.4
2005-11-30,41.2
2005-12-01,39.4
2005-12-02,38.8
2005-12-03,26.8
2005-12-04,24.8
2005-12-05,25.1
2005-12-06,25.4
2005-12-07,24.2
2005-12-08,24.3
2005-12-09,24.0
2005-12-10,23.3
2005-12-11,29.1
2005-12-12,29.6
2005-12-13,28.2
2005-12-14,29.4
2005-12-15,30.0
2005-12-16,30.1
2005-12-17,31.5
2005-12-18,31.9
2005-12-19,26.7
2005-12-20,28.2
2005-12-21,28.8
2005-12-22,29.5
2005-12-23,31.2
2005-12-24,32.9
2005-12-25,32.5
2005-12-26,33.6
2005-12-27,30.2
2005-12-28,33.0
2005-12-29,31.0
2005-12-30,32.5
2005-12-31,33.6
2006-01-01,29.8
2006-01-02,33.1
2006-01-03,33.1
2006-01-04,33.3
2006-01-05,35.0
2006-01-06,35.1
2006-01-07,36.3
2006-01-08,36.6
